date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktFFUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d
9/23/17,0,14404,14405,14405,1811,14405,14405,68,14405,14505,14505,14505,14505,14405,14405,14405,14405,14505,14405,4756,,,,,,,,,1613887838,406,667.6256158,,,,,,,,,,,0,,0,0,0,,0,,0.682028763,,,,,,,,,8.84E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484745,31112484745,31112484745,31112484745,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484745,25145689143,0,0,0,0,,,,,,0,,
9/24/17,8,14404,14405,14405,1811,14405,14405,68,14405,14507,14507,14506,14505,14405,14405,14405,14405,14504,14405,4756,,,,,,,,,1613887853,4320,665.894213,,,,,,,0.1398796,,0.170894,,0.699398,,0,0,0,,0,,0.682028763,39948543226,,32287156038,,,,,,8.78E-09,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,1.00E-09,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484744,31112484744,31112484744,31112484744,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484744,25145689142,5,5.79E-05,9,0.778814,,0.31199111,,0.558212,,9.00E-11,,
9/25/17,16,14404,14405,14405,1811,14405,14405,68,14405,14509,14509,14508,14507,14405,14405,14405,14405,14502,14405,4756,,,,,,,,,1613887868,4320,634.8530093,,,,,,,0.06507962,,0,,0.520637,,0,0,0,,0,,0.682028763,5356400240,,4329142351,,,,,,8.73E-09,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,1.54E-08,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484744,31112484744,31112484744,31112484742,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484744,25145689142,8,9.26E-05,11,5.808469,,0.64887045,,1,,3.20E-10,,
9/26/17,4,14404,14405,14405,1811,14405,14405,68,14405,14509,14508,14507,14506,14405,14405,14405,14405,14502,14405,4756,,,,,,,,,1613887883,4320,662.8337963,,,,,,,0.178761,,0.178761,,0.178761,,0,0,0,,0,,0.682028763,28268606402,,22847213744,,,,,,8.72E-09,4.601204,4.601204,4.300602,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,1.48E-08,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484744,31112484744,31112484744,31112484742,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484744,25145689142,1,1.16E-05,2,1.100602,,0.550301,,1.100602,,3.55E-10,,
9/27/17,12,14404,14406,14406,1811,14405,14406,68,14405,14511,14510,14509,14507,14406,14405,14406,14405,14502,14406,4756,,,,,,,,,1613887900,4320,634.7092593,,,,,,,0.1139295,,0.1708065,,0.683577,,0,0,0,,0,,0.682028731,12.63157898,,10.20907759,,,,,,9.71E-08,2463071706,2463071706,2463071703,2463071706,2463071706,2463071706,2463071706,2463071706,2463071706,2463071706,2463071706,2463071706,7.916666657,31112185171,31112484645,31112484645,21219608478,31112483645,31112484645,9587903351,31112483645,31112484743,31112484743,31112484743,31112484741,31112484645,31112484645,31112483645,31112483645,31112484645,26222169632,,,,,,,,,10403116167,19948288126,11313065533,31112484743,25145690141,6,6.94E-05,9,2463071703,,547349267.1,,0.964553,,0.158333333,,
9/28/17,65,14404,14406,14411,1811,14405,14407,68,14405,14517,14515,14514,14512,14406,14405,14409,14405,14506,14405,4756,,,,,,,,,1613887916,4306,670.7772875,,,,,,,0.06238814,,0,,2.245973,,0,0,0,,0,,0.682028731,6.453481189,,5.215823797,,,,,,9.69E-08,5987753240,5987753240,5987753237,5987753240,5987753240,5987753240,5987753240,5987753240,5987753240,5987753240,5987753240,5987753240,19.24549996,31112185170,31112484578,31112484643,21219608477,31112483644,31112484612,9587903350,31112483644,31112484741,31112484741,31112484741,31112484738,31112484633,31112484578,31112483644,31112483644,31112483644,26222169631,,,,,,,,,10403116166,19948288125,11313065532,31112484741,25145690140,36,0.000416667,48,4821039038,,113938314.3,,749991.5,,0.334116114,,
9/29/17,4747,14384,14533,14600,1810,14507,14562,68,14482,14810,14798,14788,14780,14551,14451,14588,14496,14732,14522,4765,,,,,,,,,1613887932,4320,823.3523148,,,,,,,0.03926251,,0,,97.645858,,0,0,0,,0,,0.681009094,5.760642975,,4.655859034,,,,,,2.88E-06,9990992137,9990992137,7527921433,9990992137,9990992137,9990992137,9990992137,9990992137,9990992137,9990992137,9990992137,9990992137,32.11248556,31097018518,31112481573,31112484465,21187884986,31112452155,31112484124,9496017093,31112180359,31112484643,31112484643,31112484643,31112484614,31112484399,31112483573,31110167140,31112388627,31112473826,26218574501,,,,,,,,,10323575527,20034175293,11290066332,31112484643,25145690042,2487,0.028784722,3035,5400870142,,2345286.612,,825277,,0.5628971,,
9/30/17,4976,14298,14657,14800,1810,14604,14716,69,14529,15113,15088,15073,15060,14702,14455,14766,14577,14976,14636,4774,,,,,,,,,1613887947,4319,807.8747395,,,,,,,0.05781594,,0,,146.158702,,0,0,0,,0,,0.680993588,5.321216374,,4.300706259,,,,,,5.48E-06,14004021379,14004021379,8020115200,14004021379,14004021379,14004021379,14004021379,14004021379,14004021379,14004021379,14004021379,14004021379,45.01093887,31075634039,31112477464,31112484239,21187402437,31112422435,31112483438,9513849091,31111415728,31112484497,31112484497,31112484496,31112484445,31112484035,31112482691,31106968316,31112248576,31112464699,26244467361,,,,,,,,,10307342018,20148056872,11328273936,31112484497,25145689896,2528,0.029259259,3351,5846874532,,2720713.28,,791085,,0.855934137,,
10/1/17,5973,14236,15023,15219,1783,14936,15109,70,14789,15681,15634,15608,15579,15076,14614,15168,14891,15396,14987,4773,,,,,,,,,1613887962,4316,896.463392,,,,,,,0.09404741,,0.17107,,291.170785,,0,0,0,,0,,0.679336955,4.548631577,,3.676288817,,,,,,9.46E-06,16950977123,16950977123,7978207303,16950977123,16950977123,16950977123,16950977123,16950977123,16950977123,16950977123,16950977123,16950977123,54.482879,31025233202,31112474186,31112483881,21135860271,31112375058,31112482804,9645516200,31110248576,31112484206,31112484206,31112484204,31112484088,31112483564,31112480554,31099408157,31112101276,31112451234,26215416439,,,,,,,,,10419102684,20407543346,11534340899,31112484206,25145689605,3096,0.035833333,4757,6839965752,,4228024.034,,833347,,1.502385589,,
10/2/17,5858,14233,15579,15876,1769,15399,15719,70,15114,16528,16438,16396,16346,15677,14849,15797,15306,16078,15504,4781,,,,,,,,,1613887978,4314,859.1599444,,,,,,,0.10739878,,0.17107,,316.074603,,0,0,0,,0,,0.676946808,3.563601926,,2.880169487,,,,,,1.96E-05,19348712431,19348712431,7211827652,19348712431,19348712431,19348712431,19348712431,19348712431,19348712431,19348712431,19348712431,19348712431,62.18954584,30970776517,31112466356,31112483463,21061496669,31112253804,31112481923,9719137879,31108323501,31112483890,31112483889,31112483887,31112483715,31112482945,31112478962,31092380846,31111676717,31112419117,26167703266,,,,,,,,,10490486208,20680990476,11766160757,31112483890,25145689288,2943,0.0340625,4735,8730628319,,8798568.946,,983735,,2.841437288,,
